Marca comercial,Ingrediente activo,CT,Unidad
PIX,MEPIQUAT CLORURO,IV,Lt
DEVETRINA,D.D.V.P. + DELTAMETRINA,Ib,Lt
LISTO,FLUAZIFOP-P-BUTIL,IV,Lt
BENOSEM 50 PM,BENOMIL,IV,Kg
PHOS-TEK,FOSFURO DE ALUMINIO,Ia,Lt
CEREALERO DOBLE,CARBENDAZIM + TIRAM,II,Lt
GLEXCUR ,TIRAM,II,Lt
PRESIDE,FLUMETSULAM,IV,Lt
ADAMA ESSENTIALS PROMETREX FW,PROMETRINA,III,Lt
GALANT R,HALOXIFOP-P-METIL,II,Lt
ADAMA ESSENTIALS GLYPHOGAN,GLIFOSATO,III,Lt
HOR-TAL,CLORPIRIFOS + CIPERMETRINA,II,Kg
FULLBACK,CLORPIRIFOS,II,Lt
CYCOCEL 75,CLOROMECUATO,II,Kg
DEPEGAL EXTRA,D.D.V.P. + PERMETRINA,Ib,Lt
SANMITE WP,PIRIDABEN,III,Kg
FORCE CS,TEFLUTRINA,IV,Kg
RONDO ,GLIFOSATO,IV,Lt
ADAMA ESSENTIALS LINURON 50 FW,LINURON,III,Lt
NEOTOXIN,FOSFURO DE ALUMINIO,Ia,Lt
FACET SC,QUINCLORAC,III,Lt
GESAGARD 50,PROMETRINA,III,Lt
CARBASEM 50 FL,CARBENDAZIM,IV,Kg
HERBA GLEX,M.C.P.A.,II,Kg
ADAMA ESSENTIALS METHOMEX 90,METOMIL,Ib,Kg
ADAMA ESSENTIALS FOLPAN,FOLPET,IV,Kg
GLIFOGLEX ,GLIFOSATO,III,Lt
SUMIVERDE,FLUMICLORAC PENTIL,III,Lt
FOLICUR 25 EW,TEBUCONAZOLE,IV,Lt
ADAMA ESSENTIALS DIURON 80 FW,DIURON,III,Lt
ICONA T FW,TIRAM,III,Lt
LERO-WETT,NONIL FENOL ETOXILADO,IV,Lt
SIMAZINA ATANOR FL 50,SIMAZINA,III,Kg
GLEXTRIN 25,CIPERMETRINA,II,Lt
MIRAGE,HALOXIFOP-P-METIL,II,Lt
RAS OIL,ACEITE MINERAL,IV,Lt
CAPTEX,CAPTAN,IV,Kg
APPLAUD,BUPROFEZIM,III,Lt
ALTO 10 SL,CYPROCONAZOLE,III,Kg
EL BUITRE MATA,FENITROTION,IV,Kg
PHOSTOXIN MINI ROPE S,FOSFURO DE ALUMINIO,Ia,Lt
SANMITE EC,PIRIDABEN,Ib,Lt
ISATALONIL 50 FW,CLOROTALONIL,IV,Lt
BETA BAYTROID 5 EC,BETA CIFLUTRIN,II,Lt
CONFIDOR 35 SC,IMIDACLOPRID,III,Lt
ROUNDUP ULTRAMAX,GLIFOSATO,III,Kg
TOTEM,CIPERMETRINA,II,Lt
SIPCATIN,CYHEXATIN,II,Kg
PUGIL,CLOROTALONIL,IV,Lt
DACONIL 72 F,CLOROTALONIL,II,Kg
BRODAL 50 SC,DIFLUFENICAN,III,Lt
SIPTRAN,ATRAZINA,IV,Lt
CIPERSEM 25,CIPERMETRINA,II,Lt
POLISULFURO DE CALCIO AGROMEN,AZUFRE DE POLISULFUROS + AZUFRE DE TIOSULFATOS,II,Kg
SCEPTER 70 DG,IMAZAQUIN,IV,Lt
PHYTON,SULFATO DE COBRE,III,Lt
PADAN 95 SP,CARTAP,II,Gr/Kg
BASTA SL,GLUFOSINATO DE AMONIO,II,Lt
GLIFOPRO 48 ,GLIFOSATO,III,Lt
VETAX CONCENTRADO,CIPERMETRINA + NAFTENATO DE ZINC,III,Lt
VETAX LISTO PARA USAR,CIPERMETRINA + NAFTENATO DE ZINC,III,Lt
ADAMA ESSENTIALS TERBUTREX FW,TERBUTRINA,II,Kg
NITRASEC PLUS,METIL TIOFANATO,III,Kg
CAIMAN,DICAMBA,III,Kg
SUMISOYA 50 P.M. ,FLUMIOXAZIN,IV,Lt
COTTONEX,FLUOMETURON,III,Kg
PIVOT 70  DG,IMAZETAPIR,IV,Kg
FAIR 85,ALCOHOLES GRASOS,IV,Lt
GALANT R LPU,HALOXIFOP-R-METIL ESTER,III,Lt
BAUNDAP,GLIFOSATO,III,Lt
SUMITHION SUPER,FENITROTION + ESFENVALERATO,II,Lt
FANAVID 85,OXICLORURO DE COBRE,IV,Lt
HELM GLIFOSATO 48,GLIFOSATO,III,Lt
BOGARD,DIFENOCONAZOLE,III,Lt
TRIRANCHEMIA 60 FLOW,CYHEXATIN,II,Lt
ACARSTIN,CYHEXATIN,II,Lt
ADAMA ESSENTIALS TRITAC,PROCLORAZ,II,Lt
FERTIFOX HORMONA,ACIDO ALFA NAFTALEN ACETICO,IV,Lt
RONDO SUPER,GLIFOSATO,IV,Lt
N-FIXER OIL,TIRAM,III,Lt
BROTAL,FLUMETRALIN,IV,Lt
TOTALSTIK,NONIL FENOL POLIOXIETILENADO,IV,Lt
RIZOLEX 50,TOLCLOFOS METIL,IV,Lt
ROURANIL 48,PROPANIL,II,Lt
ADAMA ESSENTIALS BUMPER 25,PROPICONAZOLE,III,Lt
TIRAM PLUS,CARBENDAZIM + TIRAM,IV,Lt
BITAM FLOW 5 SC,DELTAMETRINA,IV,Lt
VRILEC,CLORIMURON ETIL,IV,Lt
MOSTAR,QUIZALOFOP-P-ETIL,IV,Kg
HERBAN LPU,QUIZALOFOP-P-ETIL,IV,Kg
TRIFLURALINA ATANOR 44.5,TRIFLURALINA,IV,Kg
SHOOTER EC,CLORPIRIFOS,II,Lt
MALBAN,METSULFURON METIL,IV,Kg
TRICIDE 40,TRIBROMOFENATO DE SODIO,III,Kg
SCARMITE,FENPIROXIMATO,III,Lt
CLORPIRISEM 48,CLORPIRIFOS,II,Lt
AGROPHOS,FOSFURO DE ALUMINIO,Ia,Gr
FURIA,ZETAMETRINA,II,Lt
ISOMATE C PLUS,DODECADIENOLES MEZCLA,IV,kg
GLIFOWET,NONIL FENOL ETOXILADO,IV,Kg
PHOSTEK,FOSFURO DE ALUMINIO,Ia,Kg
ORTHENE 75 SP,ACEFATO,III,Gr
CARBENDAGLEX,CARBENDAZIM,III,Lt
PRESIDE 80 WDG,FLUMETSULAM,IV,Lt
FERTIFOX ANTISHOCK ,ACIDO ALFA NAFTALEN ACETICO ,IV,Lt
CIPERMETRINA 25 FORMULAGRO,CIPERMETRINA,II,Kg
NISSHIN OD 4% LPU,NICOSULFURON,IV,Kg
PHEROCON CM,DODECADIENOL,IV,Lt
ECOTECH PRO,BACILLUS THURINGIENSIS,IV,Lt
ECOTECH BIO,BACILLUS THURINGIENSIS,IV,Lt
SUPERWET,NONIL FENOL ETOXILADO,III,Lt
TROPEL,QUIZALOFOP-P-TEFURIL,IV,Lt
DASH - HC,MEZCLA DE ACIDOS Y ESTERES DE ACIDOS GRASOS,IV,Lt
FASTAC 10,ALFACIPERMETRINA,II,Kg
ADAMA ESSENTIALS PREMERGE,TRIFLURALINA,IV,Kg
VENCEWEED AMINA 50,"2,4-DB SAL AMINA",II,Kg
FINISH,CYCLANILIDE + ETEFON,III,Kg
SUMIEIGHT-FORTE,DINICONAZOLE + TIRAM,II,Lt
PENTA XXI LISTO PARA USAR,CIPERMETRINA + T.C.M.T.B.,II,Lt
A 35 T,NONIL FENOL ETOXILADO,IV,Lt
BROMOPIC,BROMURO DE METILO + CLOROPICRINA,Ia,Kg
PENTA EXTERIOR CONCENTRADO,CIPERMETRINA + T.C.M.T.B.,II,Lt
PENTA EXTERIOR LISTO PARA USAR,CIPERMETRINA + T.C.M.T.B.,III,Lt
LAZO MICROTECH,ALACLOR,II,Lt
GAUCHO 60 FS,IMIDACLOPRID,II,Lt
POSTFURO,FOSFURO DE ALUMINIO,Ia,Kg
LEX,ESTERES POLIGLICOLICOS DE AMINAS GRASAS,IV,Lt
DIURON 80 AL,DIURON ,IV,Kg
BAYTAN 15 FS,TRIADIMENOL,IV,Lt
POINTER 48%,CLORPIRIFOS,II,Lt
EXWEED 48,GLIFOSATO,IV,Lt
ALFAMAX ,ALFACIPERMETRINA,II,Lt
"BAMBA 2,5",DELTAMETRINA,II,Lt
ACEFATO 75 SHINUNG,ACEFATO,II,Kg
AGROSCALD,DIFENILAMINA,III,Gr
PIRFOS 48,CLORPIRIFOS,II,Lt
"HORMIFAV 2,5 P",CLORPIRIFOS,IV,Kg
ADAMA ESSENTIALS MAGAN CLIN 33 CE,PENDIMETALIN,II,Lt
ADVANCE,CLORIMURON ETIL,III,Grs
ERRASIN,METSULFURON METIL,IV,Gr
ADAMA ESSENTIALS METOLACHLOR AGAN,METOLACLORO,III,Lt
ATRION,BETA CIPERMETRINA,II,Lt
ROUNDUP MAX,GLIFOSATO,III,Gr
INDAR F,FENBUCONAZOLE,IV,Lt
CUPRODUL,OXIDO CUPROSO,II,Kg
SAPROL ,TRIFORINE,IV,Lt
RAK 20,Z8/E8 DODECENILACETATO ,IV,Cápsulas
YARARA F,FENITROTION,III,Kg
DUAL F,FENITROTION,III,Kg
BICEP PACK GOLD,S-METOLACLORO + ATRAZINA,III,Lt/Gr
ULTRA BLOCS,BRODIFACOUM,IV,Kg
DIFENOX 25,DIFENILAMINA,IV,Lt
AGROPOL,SULFATO DE COBRE PENTAHIDRATADO,IV,Kg
DIURON SC 50,DIURON ,IV,Lt
WPS DUPERIAL,AZUFRE,IV,Kg
SULFAQUIM,SULFATO DE COBRE PENTAHIDRATADO,IV,Kg
FUNGOBACTERICIDA ENCO,SULFATO DE ESTREPTOMICINA + CLORHIDRATO DE OXITETRACICLINA,III,Kg
DIVIDEND,DIFENOCONAZOLE,III,Lt
ATRAZINA DOW AGROSCIENCES,ATRAZINA ,IV,Lt
CAPAZ,SULFENTRAZONE,III,Kg
SWEEPER 70 DG,IMAZAMOX,III,Gr
SUMISOYA TOP,FLUMIOXAZIN,IV,Lt
GAMIT,CLOMAZONE,II,Lt
SHOOTER,CLORPIRIFOS,II,Lt
CORRECTOR H,ACIDO ORTOFOSFORICO,IV,Lt
ACETOCLOR 90,ACETOCLOR,III,Lt
TROPHY,ACETOCLOR,III,Lt
TAURO 25,CIPERMETRINA,II,Lt
ISHIMETRIN,CIPERMETRINA,II,Lt
DIMILIN 25 WP,DIFLUBENZURON,IV,Kg
ACOIDAL WG,AZUFRE,IV,Kg
RITIRAM PLUS SEMILLERO AC,TIRAM,III,Lt
RITIRAM CARB,CARBENDAZIM + TIRAM,III,Lt
TERFOS ,CLORPIRIFOS,II,Lt
BROMOCIEN,BROMURO DE METILO,Ia,Kg
MANCOZEB DOW AGROSCIENCES,MANCOZEB,III,Kg
CREOCARBO,ACEITE DE CREOSOTA,II,Lt
GALTRIN 20,CIPERMETRINA,II,Lt
CAPAZ 50 SC ,SULFENTRAZONE,IV,Lt
AZUFRE 93 LAMDIA EXTRA (MALLA 350),AZUFRE,IV,Kg
AZUFRE 93 LAMDIA EXTRA (MALLA 325),AZUFRE,IV,Kg
HALOCIDE ACUOSO,TRIBROMOFENOL,III,Lt
SUNFIRE 24 SC,CLORFENAPIR,II,Lt
"VENDAVAL 2,4D AMINA ","2,4-D",III,Lt
ADAMA ESSENTIALS GALIGAN ,OXIFLUORFEN,III,Lt
MAGISTER 20 SC,FENAZAQUIN,II,Lt
PEAK 75 WG,PROSULFURON,II,Gr
ALSYSTIN 48 SC,TRIFLUMURON,IV,Lt
SPIDER,DICLOSULAM,III,Gr
PANZER,GLIFOSATO,IV,Lt
LIGHTNING,IMAZETAPIR + IMAZAPIR,III,Gr
AMETRINA ATANOR 50,AMETRINA,IV,Lt
TRIMET,METSULFURON METIL,IV,Gr
LORSBAN 15 G,CLORPIRIFOS,II,Gr
REGENT 25 FS SEMILLERO,FIPRONIL,II,Lt
FRUTELF  I,ACEITE MINERAL REFINADO,IV,Lt
ELF PURESPRAY 10E,ACEITE MINERAL REFINADO,IV,Lt
ELF PURESPRAY ,ACEITE MINERAL REFINADO PARAFINICO HIDROTRATADO N.L.,IV,Lt
AGRITELF,ACEITE MINERAL REFINADO PARAFINICO LIVIANO,IV,Lt
FRUTELF V,ACEITE MINERAL REFINADO PARAFINICO LIVIANO,IV,Lt
PROPLANT,PROPAMOCARB,II,Lt
HIDROCOB,HIDROXIDO DE COBRE,III,Kg
GESAPRIM 48,ATRAZINA,II,Gal/Lt
CLORPIRIFOS FORMULAGRO 48,CLORPIRIFOS,II,Lt
RIZOCARB 50,CARBENDAZIM,IV,Lt
SUCKER 80,HIDRAZIDA MALEICA,IV,Kg
TUBO MATA PICUDO,MERCAPTOTION + GLANDLURE,III,Tubos
CLAP,FIPRONIL,II,Cm3
CONDOR 48,CLORPIRIFOS,II,Lt
FUXOL D,CLORPIRIFOS,IV,Lt
TASPA,DIFENOCONAZOLE + PROPICONAZOLE,III,Lt
CLIMUR,CLORIMURON ETIL,IV,Gr
TRACER,SPINOSAD,IV,Lt
CANAPLUS 50,ALQUIL ARIL POLIGLICOL ETER,IV,Lt
ROUNDUP FULL,GLIFOSATO,IV,Lt
TOPSIN FLO,METIL TIOFANATO,III,Lt
CRINIGAN SOJA,TIRAM,III,Lt
INDICATE FIVE,ACIDO FOSFORICO,III,Lt
SPONSOR,CLORIMURON ETIL,IV,Gr
ONECIDE,FLUAZIFOP-P-BUTIL,IV,Kg
ZIRAM GRANUFLO,ZIRAM,III,Kg
ADAMA ESSENTIALS LEOPARD,QUIZALOFOP-P-ETIL,IV,Lt
CLORFOX,CLORPIRIFOS,II,Lt
COMMAND 36 CS,CLOMAZONE,IV,Lt
LASIOTRAP,SERRICORNIN,IV,Mg
QUICKPHOS,FOSFURO DE ALUMINIO,Ia,kg Past
BIOLURE CM PLUS,DODECADIENOL,IV,Cebo/Tr
CONCEP III,FLUXOFENIM,II,Cm3/Lt
PHEROCON OFM,Z8/E8 DODECENILACETATO,IV,Gr/cap.
PRILAN,PROPAQUIZAFOP,IV,Lt
LUPARA,MERCAPTOTION,II,Lt
ACOPIOFOS,FOSFURO DE ALUMINIO,Ia,Kg
ATRAZINA EQUIPAGRO,ATRAZINA,II,Lt
VEROSIL,IMAZETAPIR     ,IV,Lt
EMUL-TEC FULL,NONIL FENOL ETOXILADO,IV,Lt
ADAMA ESSENTIALS KESSET ,DELTAMETRINA,II,Lt
ESTERON ULTRA,"2,4-D",II,Lt
DMA ULTRA,"2,4-D",II,Lt
FLOW SYSTEMIC FORMULAGRO,CARBENDAZIM + TIRAM,III,Lt
I. ACEITE INVIERNO AGRICOLA,ACEITE MINERAL,III,Lt
I. ACEITE VERANO AGRICOLA,ACEITE MINERAL,III,Lt
SIR GLIFO,GLIFOSATO,III,Lt
AMISTAR,AZOXISTROBINA,III,Lt
GLIFOSATO TERRIUM,GLIFOSATO,III,Lt
FORMULAGRO 48 L,GLIFOSATO,III,Lt
TALONE,CLOROTALONIL,IV,Lt
FERBAM GRANUFLO,FERBAM,III,Kg
SUCCESS 48,SPINOSAD,IV,Lt
DASEN,BENAZOLIN ETIL,IV,Lt
KARATE® CON TECNOLOGIA ZEON™,LAMBDACIALOTRINA,II,Lt
WOLMAN 60,SALES C.C.A. (CROMOCUPROARSENICALES),Ia,Kg
GLIFOSATO NOVA,GLIFOSATO,IV,Lt
ADAMA PYRINEX 25 ME,CLORPIRIFOS ,III,Lt
THIRAM GRANUFLO,TIRAM ,II,Kg
BIOLURE CM ,DODECADIENOL,IV,Cebo/Tr
DEGSER WET,ALQUIL ARIL POLIGLICOL ETER,IV,Lt
FUMITOXIN,FOSFURO DE ALUMINIO,Ia,Kg
BORAL 50 SC,SULFENTRAZONE,IV,Lt
HARWET RP,ALQUIL ARIL POLIGLICOL ETER,IV,Lt
DEGSER WET PLUS,ALQUIL ARIL POLIGLICOL ETER,IV,Lt
STAM 80,PROPANIL,III,Kg
ANCOM DIURON F800,DIURON,IV,Lt
MOSPILAN,ACETAMIPRID,II,Gr
NITRAGIN PROTREAT,CARBENDAZIM + TIRAM,III,Cm3/Lt
NATUR L OLEO,ACEITE VEGETAL DE SOJA,IV,Lt
MAXIM XL ,METALAXIL-M + FLUDIOXONIL,III,Lt
